,drug_name,side_effects,brand_names,alcohol,drug_link
108,timolol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Timolol may cause serious side effects. Call your doctor at once if you have: new or worsening chest pain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; muscle weakness; drooping eyelids, vision problems; or a cold feeling in your hands and feet. Common side effects of timolol may include: slow heartbeats; dizziness ; or tiredness.",Blocadren,X,https://www.drugs.com/mtm/timolol.html
109,oxcarbazepine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Oxcarbazepine can reduce the sodium in your body to dangerously low levels, which can cause a life-threatening electrolyte imbalance. Call your doctor right away if you have nausea, lack of energy, confusion, feeling tired or irritable, severe weakness, muscle pain, or increased seizures. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, depression , anxiety , or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Common side effects of oxcarbazepine may include: dizziness , drowsiness, tiredness; balance or coordination problems; nausea, vomiting ; tremors or shaking; double vision; or rash.","Oxtellar XR, Trileptal",X,https://www.drugs.com/mtm/oxcarbazepine.html
110,liraglutide,"hives ; fast heartbeats; dizziness ; trouble breathing or swallowing; swelling of your face, lips, tongue, or throat. Liraglutide may cause serious side effects. Call your doctor at once if you have: racing or pounding heartbeats; sudden changes in mood or behavior, suicidal thoughts; dehydration symptoms--feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin ; low blood sugar-- headache , hunger, sweating, irritability, dizziness, fast heart rate , and feeling anxious or shaky; gallbladder or pancreas problems--sudden and severe pain in your upper stomach that may spread to your back, nausea , vomiting, fever, jaundice (yellowing of your skin or eyes); or signs of a thyroid tumor--swelling or a lump in your neck, trouble swallowing, a hoarse voice, feeling short of breath. Common side effects of liraglutide may include: low blood sugar; nausea, vomiting, stomach discomfort, loss of appetite; diarrhea, constipation ; rash; headache, dizziness; or feeling tired.","Saxenda, Victoza",X,https://www.drugs.com/mtm/liraglutide.html
111,irbesartan,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Irbesartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of irbesartan may include: dizziness ; feeling light-headed; or high potassium.",Avapro,,https://www.drugs.com/mtm/irbesartan.html
112,hydrocortisone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Hydrocortisone rectal may cause serious side effects. Call your doctor at once if you have: severe rectal pain or burning, bleeding from your rectum; new or worsening rectal irritation; fever or other signs of infection; or severe headaches, ringing in your ears, pain behind your eyes. Common side effects of hydrocortisone rectal may include: rectal itching, burning, or other irritation; or dryness or skin changes around the rectum.","Anucort-HC, Anusol-HC, Hemmorex-HC, Proctocort, Proctozone HC",,https://www.drugs.com/mtm/hydrocortisone-rectal-cream-suppository.html
113,hydrocortisone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Hydrocortisone may cause serious side effects. Call your doctor at once if you have: blurred vision, eye pain or redness, seeing halos around lights; muscle weakness, loss of muscle mass; new or unusual pain in your joints, bones, or muscles; severe headaches, ringing in your ears, pain behind your eyes; unusual changes in mood or behavior; a seizure; fluid retention --shortness of breath (even while lying down), swelling, rapid weight gain (especially in your face and midsection); new signs of infection--such as fever, chills, cough, trouble breathing, sores in your mouth or on your skin, diarrhea , or burning when you urinate; increased adrenal gland hormones --slow wound healing, skin discoloration, thinning skin, increased body hair, tiredness, menstrual changes, sexual changes; or decreased adrenal gland hormones --weakness, tiredness, diarrhea, nausea , menstrual changes, skin discoloration, craving salty foods, and feeling light-headed. Hydrocortisone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using hydrocortisone. Common side effects of hydrocortisone may include: thinning skin, bruising or discoloration; increased sweating; stomach bloating ; changes in your menstrual periods; increased appetite, weight gain; headache , dizziness ; or trouble sleeping.",,,https://www.drugs.com/mtm/hydrocortisone.html
114,verapamil,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: chest pain, fast or slow heart rate ; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; fever, upper stomach pain, not feeling well; or lung problems-- anxiety , sweating, pale skin, wheezing, gasping for breath, cough with foamy mucus. Common side effects may include: nausea , constipation ; headache , dizziness ; or low blood pressure.","Calan, Isoptin SR, Verelan, Calan SR, Isoptin I.V., Covera-HS, Verelan PM",X,https://www.drugs.com/verapamil.html
115,memantine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Memantine may cause serious side effects. Call your doctor at once if you have: severe headache , blurred vision, pounding in your neck or ears; seizure (convulsions); or unusual changes in mood or behavior. Common side effects of memantine may include: diarrhea ; dizziness ; or headache.","Namenda, Namenda XR",,https://www.drugs.com/mtm/memantine.html
116,prednisolone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Prednisolone may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; severe pain in your upper stomach spreading to your back, nausea and vomiting ; a seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using prednisolone. Common side effects of prednisolone may include: fluid retention (swelling in your hands or ankles); dizziness , spinning sensation; changes in your menstrual periods; headache ; muscle pain or weakness; or stomach discomfort, bloating .","Flo-Pred, Millipred, Orapred, Pediapred, Veripred 20, Prelone, Hydeltra-T.B.A., Hydeltrasol, Key-Pred, Cotolone, Predicort, Medicort, Predcor, Bubbli-Pred, and others",,https://www.drugs.com/prednisolone.html
117,nortriptyline,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; restless muscle movements in your eyes, tongue, jaw, or neck; a light-headed feeling, like you might pass out; seizure (convulsions); new or worsening chest pain, pounding heartbeats or fluttering in your chest; sudden numbness or weakness, problems with vision, speech, or balance; fever, sore throat , easy bruising, unusual bleeding; painful or difficult urination; or jaundice (yellowing of the skin or eyes). Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common nortriptyline side effects may include: increased blood pressure; numbness or tingling in your hands or feet; dry mouth, nausea, vomiting, loss of appetite; blurred vision; rash, itching; or breast swelling (in men or women).",Pamelor,X,https://www.drugs.com/nortriptyline.html
118,progesterone,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: unusual vaginal bleeding; pain or burning when you urinate; a breast lump; sudden vision problems, severe headache or pain behind your eyes; symptoms of depression (sleep problems, weakness, mood changes); severe dizziness or drowsiness, spinning sensation, confusion, shortness of breath; heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); signs of a stroke - sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with speech or balance; signs of a blood clot in the lung - chest pain, sudden cough, wheezing, rapid breathing, coughing up blood; or signs of a blood clot in your leg - pain, swelling, warmth, or redness in one or both legs. Common progesterone side effects may include: drowsiness, dizziness; breast pain; mood changes; headache; constipation, diarrhea, heartburn; bloating, swelling in your hands or feet; joint pain; hot flashes; or vaginal discharge.",Prometrium,,https://www.drugs.com/progesterone.html
119,mirabegron,"Stop using mirabegron and get emergency medical help if you have signs of an allergic reaction: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mirabegron may cause serious side effects. Call your doctor at once if you have: pain or burning when you urinate; or dangerously high blood pressure--severe headache , blurred vision, pounding in your neck or ears. Common side effects of mirabegron may include: painful urination; increased blood pressure; sinus pain, sore throat ; constipation ; headache; or dry mouth or fast heartbeats (when taken with solifenacin).",Myrbetriq,,https://www.drugs.com/mtm/mirabegron.html
120,methylprednisolone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; blurred vision, tunnel vision, eye pain, or seeing halos around lights; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; seizure (convulsions); or low potassium - leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common methylprednisolone side effects may include: fluid retention (swelling in your hands or ankles); dizziness, spinning sensation; changes in your menstrual periods; headache; mild muscle pain or weakness; or stomach discomfort, bloating.","Medrol, Medrol Dosepak, MethylPREDNISolone Dose Pack",,https://www.drugs.com/methylprednisolone.html
121,acyclovir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: easy bruising or bleeding, purple or red pinpoint spots under your skin; changes in behavior; confusion, hallucinations; or signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath. Common acyclovir side effects may include: mild skin pain; rash, itching; nausea , vomiting , diarrhea ; headache ; or mouth pain while using an acyclovir buccal tablet.","Sitavig, Zovirax",,https://www.drugs.com/acyclovir.html
122,acyclovir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of acyclovir topical may include: dry, cracked, or peeling lips; dryness or flaking of treated skin; burning, stinging, or itching when the medicine is applied.",,,https://www.drugs.com/mtm/acyclovir-topical.html
123,docusate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using docusate and call your doctor at once if: you have rectal bleeding ; no bowel movement occurs after using a laxative; you need to use a stool softener for more than 1 week; or rash occurs. Less serious side effects may be more likely, and you may have none at all.","Colace, Diocto, Doc-Q-Lace, Docusil, Docusoft S, DocuSol, Dulcolax Stool Softener, Enemeez Mini, Kao-Tin, Pedia-Lax Stool Softener, Phillips Stool Softener, Promolaxin, Silace, Surfak Stool Softener, Sur-Q-Lax, Dialose, DC-240, Kasof, DOK, Sulfalax Calcium, DOS, DSS, Modane Soft, Regulax SS, Dioeze, Aqualax, Dioctocal, Dioctosoftez, Dioctyn, Dionex, Docu Soft, Docucal, Calcium Stool Softener, Calube, D-S Caps, Ex-Lax Stool Softener, Genasoft, Doss-Relief, Fleet Sof-Lax, Colace Micro-Enema, Correctol Softgel Extra Gentle, Therevac-SB, Octycine-100, Octycine-250, Sulfolax, Kaopectate Stool Softener, Vacuant, Docuprene, DocuSol Kids, Colace Clear, Docusate Mini",,https://www.drugs.com/mtm/docusate-oral-rectal.html
124,olanzapine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. High doses or long-term use of olanzapine can cause a serious movement disorder that may not be reversible. The longer you use olanzapine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Olanzapine may cause serious side effects. Call your doctor at once if you have: uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); trouble speaking or swallowing; swelling in your hands or feet; confusion, unusual thoughts or behavior, hallucinations, or thoughts about hurting yourself; low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, trouble breathing, feeling light-headed; or signs of dehydration --feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin ; liver problems--upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); high blood sugar--increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss ; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of olanzapine may include: weight gain (more likely in teenagers), increased appetite; headache , dizziness, drowsiness, feeling tired or restless; problems with speech or memory; tremors or shaking, numbness or tingly feeling; changes in personality; dry mouth, or increased salivation; stomach pain, constipation ; or pain in your arms or legs.","ZyPREXA, ZyPREXA Zydis",X,https://www.drugs.com/mtm/olanzapine.html
125,nitroglycerin,"hives , sweating, pale skin; nausea , vomiting; feeling weak or light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Nitroglycerin may cause serious side effects. Call your doctor at once if you have: severe or throbbing headaches that do not become less severe with continued use of nitroglycerin; pounding heartbeats or fluttering in your chest; slow heart rate ; a light-headed feeling, like you might pass out; blurred vision or dry mouth; or heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating. Nitroglycerin can cause severe headaches that should become less severe as you continue to use the medicine. Common side effects of nitroglycerin may include: flushing (sudden warmth, redness, or tingly feeling); feeling light-headed, fainting; headache, dizziness; or numbness, tingling, burning pain.","GoNitro, Nitromist, Nitrostat, Nitro-Time",X,https://www.drugs.com/mtm/nitroglycerin-oral-sublingual.html
126,nitrofurantoin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: diarrhea that is watery or bloody; sudden chest pain or discomfort, wheezing, dry cough or hack; new or worsening cough, trouble breathing; fever, chills, body aches, tiredness, unexplained weight loss; numbness, tingling, or pain in your hands or feet; liver problems--nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or lupus-like syndrome--joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting, unusual thoughts or behavior, and patchy skin color. Serious side effects may be more likely in older adults and those who are ill or debilitated. Common nitrofurantoin side effects may include: headache, dizziness; gas, upset stomach; mild diarrhea; or vaginal itching or discharge.","Macrobid, Macrodantin",,https://www.drugs.com/nitrofurantoin.html
127,pioglitazone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using pioglitazone and call your doctor at once if you have symptoms of liver damage : nausea , upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes). Pioglitazone may cause serious side effects. Call your doctor at once if you have: shortness of breath (especially when lying down), unusual tiredness, swelling, rapid weight gain; pink or red urine, painful or difficult urination, new or worsening urge to urinate; changes in your vision; or sudden unusual pain in your hand, arm, or foot. Some people taking pioglitazone have had bladder cancer, but it is not clear if pioglitazone was the actual cause. Common side effects of pioglitazone may include: headache ; muscle pain; or cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat .",Actos,X,https://www.drugs.com/mtm/pioglitazone.html
128,clobetasol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: worsening of your skin condition; redness, warmth, swelling, oozing, or severe irritation of any treated skin; blurred vision, tunnel vision, eye pain , or seeing halos around lights; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or possible signs of absorbing this medicine through your skin - weight gain in your face and shoulders, slow wound healing, skin discoloration, thinning skin, increased body hair, tiredness, mood changes, menstrual changes, sexual changes. Common side effects may include: burning, itching, swelling, or irritation of treated skin; dry or cracking skin; redness or crusting around your hair follicles; spider veins; stretch marks, thinning skin; rash or hives; acne; or temporary hair loss .","Clobex, Clodan, Impoyz, Olux, Olux-E, Temovate, Tovet, Temovate E, Cormax, Embeline E, Clobevate, Embeline, Olux/Olux-E Kit, Cormax Scalp, Tovet Kit, Clobetasol (Eqv-Temovate E), Clobetasol (Eqv-Temovate)",,https://www.drugs.com/clobetasol-topical.html
129,azelastine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of an ear infection : ear pain or full feeling; drainage from the ear; trouble hearing; or fever. Common side effects of azelastine nasal may include: drowsiness, tiredness; a bitter taste in your mouth; mouth or throat pain; nasal pain or discomfort, nosebleeds ; cold symptoms such as stuffy nose, sneezing, cough, sore throat ; fever, headache ; vomiting ; or skin itching around your nose.","Astepro, Astelin, Astepro Allergy",X,https://www.drugs.com/mtm/azelastine-nasal.html
130,desvenlafaxine,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Desvenlafaxine may cause serious side effects. Call your doctor at once if you have: a seizure; easy bruising or bleeding ( nosebleeds , bleeding gums), blood in your urine or stools, coughing up blood ; blurred vision, eye pain or swelling, or seeing halos around lights; cough, chest discomfort, trouble breathing; or low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Common side effects of desvenlafaxine may include: dizziness , drowsiness, anxiety; increased sweating; nausea, decreased appetite, constipation ; sleep problems ( insomnia ); or decreased sex drive, impotence , or difficulty having an orgasm.","Khedezla, Pristiq",X,https://www.drugs.com/mtm/desvenlafaxine.html
131,oseltamivir,"sudden confusion; tremors or shaking; unusual behavior; or hallucinations (hearing or seeing things that are not there). Common oseltamivir side effects may include: nausea, vomiting ; headache ; or pain.",Tamiflu,,https://www.drugs.com/oseltamivir.html
132,levocetirizine,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Levocetirizine may cause serious side effects. Stop using levocetirizine and call your doctor at once if you have: worsening allergy or urticaria symptoms; painful or difficult urination; little or no urination; a light-headed feeling, like you might pass out; fever; or signs of an ear infection--ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of levocetirizine may include: drowsiness, tiredness; sinus pain; ear infection; cough; fever; nosebleed; vomiting , diarrhea , constipation ; dry mouth; or weight gain.",Xyzal,X,https://www.drugs.com/levocetirizine.html
133,phentermine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Phentermine may cause serious side effects. Call your doctor at once if you have: feeling short of breath, even with mild exertion; chest pain, feeling like you might pass out; swelling in your ankles or feet; pounding heartbeats or fluttering in your chest; tremors, feeling restless, trouble sleeping; unusual changes in mood or behavior; or increased blood pressure - severe headache , blurred vision, pounding in your neck or ears, anxiety , nosebleed. Common side effects of phentermine may include: itching; dizziness headache; dry mouth; unpleasant taste; diarrhea; constipation ; stomach pain; or increased or decreased interest in sex.","Adipex-P, Lomaira, Suprenza",X,https://www.drugs.com/phentermine.html
134,sucralfate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of sucralfate may include: constipation , diarrhea ; nausea , vomiting , gas, indigestion ; itching, rash; dizziness , drowsiness; sleep problems ( insomnia ); headache ; or back pain .",Carafate,,https://www.drugs.com/mtm/sucralfate.html
135,sildenafil,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking sildenafil and get emergency medical help if you have: heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; vision changes or sudden vision loss; erection is painful or lasts longer than 4 hours (prolonged erection can damage the penis); ringing in your ears, or sudden hearing loss; irregular heartbeat; swelling in your hands, ankles, or feet; shortness of breath; seizure (convulsions); or a light-headed feeling, like you might pass out. Common sildenafil side effects may include: flushing (warmth, redness, or tingly feeling); headache, dizziness; heartburn, nausea, or upset stomach abnormal vision (blurred vision, changes in color vision) runny or stuffy nose, nosebleeds; sleep problems (insomnia); or muscle pain, back pain.","Revatio, Viagra",X,https://www.drugs.com/sildenafil.html
136,mesalamine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Mesalamine may cause serious side effects. Stop using mesalamine and call your doctor at once if you have: severe stomach pain, stomach cramping, bloody diarrhea; fever, headache, general ill feeling; rash, itching, eye redness ; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, feeling light-headed, trouble breathing; signs of a kidney stone--severe pain in your side and back, frequent need to urinate, foul-smelling urine, dark or cloudy urine; kidney problems--increased or decreased urination, swelling, weight gain; or liver problems--loss of appetite, upper stomach pain, tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Low white blood cell counts may be more likely in older adults. Common side effects of mesalamine may include: burping , constipation , nausea , vomiting , stomach pain, diarrhea, gas; dizziness ; cold symptoms such as stuffy nose, sneezing, sore throat; back pain ; headache; rash; or abnormal liver function tests .","Apriso, Asacol HD, Delzicol, Lialda, Pentasa",,https://www.drugs.com/mtm/mesalamine.html
137,carbamazepine,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Report any new or worsening symptoms to your doctor, such as: sudden mood or behavior changes, depression, anxiety , insomnia , or if you feel agitated, hostile, restless, irritable, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: a skin rash, no matter how mild; loss of appetite, right-sided upper stomach pain, dark urine; slow, fast, or pounding heartbeats; anemia or other blood problems - fever, chills, sore throat, mouth sores, bleeding gums, nosebleeds , pale skin, easy bruising, unusual tiredness, feeling light-headed or short of breath; or low levels of sodium in the body - headache , confusion, severe weakness, feeling unsteady, increased seizures. Common carbamazepine side effects may include: dizziness , loss of coordination, problems with walking; nausea, vomiting ; or drowsiness.","Carbatrol, Epitol, Equetro, Tegretol, Tegretol XR",X,https://www.drugs.com/carbamazepine.html
138,buprenorphine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Call your doctor at once if you have: opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold, runny nose , watery eyes , diarrhea , muscle pain; noisy breathing, sighing, shallow breathing, breathing that stops during sleep; slow heartbeat or weak pulse; a light-headed feeling, like you might pass out; chest pain, trouble breathing; low cortisol levels - nausea , vomiting , loss of appetite, dizziness, worsening tiredness or weakness; or liver problems - nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common buprenorphine side effects may be more likely to occur, such as: constipation , nausea, vomiting; headache ; increased sweating; sleep problems ( insomnia ); or pain anywhere in your body.",Subutex,X,https://www.drugs.com/buprenorphine.html
139,gemfibrozil,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, gemfibrozil can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Also call your doctor at once if you have: sharp pain in your upper stomach (especially after eating); jaundice (yellowing of your skin or eyes); pain or burning when you urinate; blurred vision, eye pain , or seeing halos around lights; or low blood cell counts - pale skin, easy bruising, unusual bleeding, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common gemfibrozil side effects may include: stomach pain, indigestion , diarrhea ; numbness or tingly feeling; dizziness , drowsiness; blurred vision; muscle or joint pain; or loss of interest in sex, impotence .",Lopid,,https://www.drugs.com/gemfibrozil.html
140,prazosin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Prazosin may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; pounding heartbeats or fluttering in your chest; new or worsening chest pain; or upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Call your doctor or seek emergency medical attention if your erection is painful or lasts longer than 4 hours. A prolonged erection ( priapism ) can damage the penis. Common side effects of prazosin may include: dizziness, drowsiness; headache ; feeling weak or tired; or nausea .",Minipress,X,https://www.drugs.com/mtm/prazosin.html
141,lansoprazole,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; new or unusual pain in your wrist, back, hip, or thigh; a seizure (convulsions); kidney problems - fever, nausea, little or no urination, blood in your urine, swelling, rapid weight gain; low magnesium - dizziness, fast or irregular heart rate, tremors (shaking) or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling; or new or worsening symptoms of lupus - joint pain, and a skin rash on your cheeks or arms that worsens in sunlight. Taking lansoprazole long-term may cause you to develop stomach growths called fundic gland polyps. Talk with your doctor about this risk. If you use lansoprazole for longer than 3 years, you could develop a vitamin B-12 deficiency. Talk to your doctor about how to manage this condition if you develop it. Common lansoprazole side effects may include: nausea, stomach pain; diarrhea, constipation ; or headache .",Prevacid,,https://www.drugs.com/lansoprazole.html
142,diphenhydramine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using diphenhydramine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; painful or difficult urination; little or no urinating; confusion, feeling like you might pass out; or tightness in your neck or jaw, uncontrollable movements of your tongue. Common diphenhydramine side effects may include: dizziness, drowsiness, loss of coordination; dry mouth, nose, or throat; constipation, upset stomach; dry eyes, blurred vision; or day-time drowsiness or ""hangover"" feeling after night-time use.","Allermax, Banophen, Benadryl, Compoz Nighttime Sleep Aid, Diphedryl, Diphenhist, Dytuss, Nytol QuickCaps, PediaCare Children's Allergy, Q-Dryl, QlearQuil Nightitme Allergy Relief, Quenalin, Scot-Tussin Allergy Relief Formula, Siladryl Allergy, Silphen Cough, Simply Sleep, Sleepinal, Sominex, Tranquil, Twilite, Unisom Sleepgels Maximum Strength, Valu-Dryl, Vanamine PD, Z-Sleep, ZzzQuil, plus many others",X,https://www.drugs.com/diphenhydramine.html
143,diphenhydramine,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad skin irritation. Diphenhydramine topical side effects",Itch Relief,,https://www.drugs.com/cdi/diphenhydramine-topical.html
144,ramipril,"hives; severe stomach pain; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; jaundice (yellowing of your skin or eyes); little or no urination; fever, chills, sore throat, cold or flu symptoms; or high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common ramipril side effects may include: headache; cough; or dizziness, weakness, tired feeling.",Altace,,https://www.drugs.com/ramipril.html
